用户ID,用户姓名,商品ID,商品名称,商品类别,单价,购买时间,购买数量,消费金额,用户城市,用户性别,用户年龄,平台,年份,月份,日期,小时
U9511,元子以,P78287,运动鞋,服装,516.06,2024-12-12 03:28:57,2,1032.12,成都,男,40,拼多多,2024,12,12,3
U4711,花光邦,P92884,蓝牙耳机,电子产品,3808.05,2024-11-18 09:12:16,5,19040.25,重庆,女,57,拼多多,2024,11,18,9
U9370,钱航,P21084,技术教材,书籍,334.94,2024-06-25 09:57:39,1,334.94,成都,女,29,拼多多,2024,6,25,9
U5009,丁祥,P34381,时尚杂志,书籍,565.08,2024-02-26 07:26:36,1,565.08,上海,女,52,拼多多,2024,2,26,7
U5768,钱和,P75020,漫画,书籍,113.71,2024-01-22 05:36:33,1,113.71,重庆,女,56,拼多多,2024,1,22,5
U8915,郁鹏,P92380,拼图,玩具,516.15,2024-07-07 00:59:31,3,1548.45,西安,女,40,拼多多,2024,7,7,0
U8837,昌中,P37364,香水,美妆,285.57,2024-02-12 19:13:51,1,285.57,深圳,女,55,拼多多,2024,2,12,19
U2939,禹林雄,P94695,香水,美妆,178.36,2024-07-17 05:26:32,5,891.8,成都,男,64,拼多多,2024,7,17,5
U6949,方涛伯,P84054,哑铃,运动,254.19,2024-05-26 17:38:44,3,762.57,上海,女,51,拼多多,2024,5,26,17
U4580,强成泰,P24149,台灯,家居,2769.12,2024-04-21 15:51:29,2,5538.24,南京,男,65,拼多多,2024,4,21,15
U6375,闵峰,P28869,科幻小说,书籍,463.54,2024-03-07 12:42:43,2,927.08,苏州,女,65,拼多多,2024,3,7,12
U1401,林建世,P69919,办公椅,家居,498.79,2024-02-23 08:05:06,2,997.58,南京,女,60,拼多多,2024,2,23,8
U4808,苏轮勇,P51244,牛仔裤,服装,269.49,2024-11-01 10:16:37,2,538.98,重庆,女,33,拼多多,2024,11,1,10
U9383,吕伦,P60500,羽毛球拍,运动,618.83,2024-07-29 05:55:20,1,618.83,深圳,男,22,拼多多,2024,7,29,5
U3613,夏博,P20808,充电宝,电子产品,4432.67,2024-12-16 13:23:58,4,17730.68,北京,女,58,拼多多,2024,12,16,13
U1659,姚建若,P16888,跳绳,运动,409.21,2024-01-27 04:36:56,4,1636.84,天津,男,37,拼多多,2024,1,27,4
U1920,杨峰福,P81947,科幻小说,书籍,667.07,2024-03-26 03:03:02,2,1334.14,南京,女,23,拼多多,2024,3,26,3
U2080,郁振,P93622,跳绳,运动,748.86,2024-02-05 09:13:22,4,2995.44,北京,女,24,拼多多,2024,2,5,9
U2368,昝树兴,P16972,智能手机,电子产品,1126.55,2024-06-27 13:46:30,1,1126.55,武汉,女,25,拼多多,2024,6,27,13
U5999,廉力功,P89947,夹克,服装,782.6,2024-08-28 22:10:51,2,1565.2,成都,男,20,拼多多,2024,8,28,22
U7308,章国辰,P15405,芭比娃娃,玩具,676.73,2024-08-14 16:42:37,5,3383.65,上海,男,62,拼多多,2024,8,14,16
U5741,于炎辰,P70695,桌游,玩具,499.09,2024-08-12 00:18:15,5,2495.45,广州,男,64,拼多多,2024,8,12,0
U4838,王飞,P44701,洗发水,美妆,348.36,2024-05-28 11:22:43,5,1741.8,西安,男,25,拼多多,2024,5,28,11
U5059,宣以,P66117,平板电脑,电子产品,4118.77,2024-04-26 09:28:51,1,4118.77,南京,女,64,拼多多,2024,4,26,9
U3779,汪健军,P65238,历史书籍,书籍,220.58,2024-09-11 12:52:23,4,882.32,西安,男,21,拼多多,2024,9,11,12
U7516,蔡奇,P11709,智能手机,电子产品,3491.92,2024-04-14 02:30:23,3,10475.76,重庆,男,52,拼多多,2024,4,14,2
U9571,窦信斌,P18336,收纳盒,家居,267.76,2024-10-09 06:25:02,4,1071.04,武汉,男,26,拼多多,2024,10,9,6
U4446,孔敬厚,P32126,遥控车,玩具,799.51,2024-03-17 15:17:34,1,799.51,天津,男,31,拼多多,2024,3,17,15
U3539,童鸣,P46501,防晒霜,美妆,790.98,2024-01-28 20:52:07,1,790.98,南京,男,29,拼多多,2024,1,28,20
U1915,孔涛风,P11191,跑步鞋,运动,648.81,2024-05-07 23:31:38,1,648.81,天津,女,59,拼多多,2024,5,7,23
U6611,廉琛,P70434,台灯,家居,4175.11,2024-07-10 08:47:23,5,20875.55,成都,女,58,拼多多,2024,7,10,8
U6841,余武启,P85460,T恤,服装,541.24,2024-01-19 00:11:05,2,1082.48,成都,男,45,拼多多,2024,1,19,0
U3495,张和光,P50148,充电宝,电子产品,7579.08,2024-06-01 10:10:53,5,37895.4,南京,男,33,拼多多,2024,6,1,10
U3413,盛行泰,P83103,智能手表,电子产品,6973.24,2024-01-14 05:44:30,5,34866.2,上海,女,61,拼多多,2024,1,14,5
U5426,任彪富,P32266,香水,美妆,288.7,2024-08-17 10:12:24,1,288.7,广州,男,57,拼多多,2024,8,17,10
U6657,沈楠若,P62493,台灯,家居,3815.07,2024-01-04 07:36:45,5,19075.35,重庆,男,36,拼多多,2024,1,4,7
U4781,娄辰,P89654,历史书籍,书籍,244.22,2024-04-12 23:28:59,5,1221.1,武汉,男,59,拼多多,2024,4,12,23
U6819,苏林天,P56068,瑜伽垫,运动,205.36,2024-07-02 03:42:17,5,1026.8,重庆,男,36,拼多多,2024,7,2,3
U6190,樊航,P42802,T恤,服装,364.92,2024-08-10 23:02:04,2,729.84,苏州,女,35,拼多多,2024,8,10,23
U4374,魏力涛,P48233,运动鞋,服装,75.05,2024-02-13 08:42:46,2,150.1,成都,女,53,拼多多,2024,2,13,8
U6074,闵钧,P16898,面霜,美妆,333.52,2024-06-13 13:59:54,3,1000.56,武汉,男,27,拼多多,2024,6,13,13
U7966,陶腾飞,P59379,抱枕,家居,1212.77,2024-11-01 11:53:20,1,1212.77,杭州,女,49,拼多多,2024,11,1,11
U8626,贾哲,P87426,毛绒玩具,玩具,609.38,2024-04-12 20:46:03,2,1218.76,武汉,男,45,拼多多,2024,4,12,20
U6982,韩国龙,P93900,时尚杂志,书籍,45.38,2024-05-21 12:03:43,4,181.52,成都,男,57,拼多多,2024,5,21,12
U7166,贲生行,P18580,拼图,玩具,571.76,2024-05-13 07:18:25,4,2287.04,重庆,女,44,拼多多,2024,5,13,7
U9445,苏贵翰,P59163,台灯,家居,759.48,2024-09-13 12:43:46,5,3797.4,深圳,男,29,拼多多,2024,9,13,12
U2058,张力,P97928,遥控车,玩具,751.75,2024-02-19 00:35:26,3,2255.25,成都,女,28,拼多多,2024,2,19,0
U9293,姚群江,P17415,变形金刚,玩具,718.62,2024-08-26 16:16:14,4,2874.48,深圳,男,31,拼多多,2024,8,26,16
U1730,萧成豪,P31146,笔记本电脑,电子产品,1443.78,2024-09-09 19:31:07,4,5775.12,广州,男,37,拼多多,2024,9,9,19
U1616,蒋博,P12799,篮球,运动,628.71,2024-11-05 17:04:01,2,1257.42,成都,男,57,拼多多,2024,11,5,17
U3725,梅策,P60742,充电宝,电子产品,3484.03,2024-11-30 02:42:14,4,13936.12,苏州,女,38,拼多多,2024,11,30,2
U2296,卜昌谦,P48267,T恤,服装,140.92,2024-03-09 12:14:44,5,704.6,南京,女,57,拼多多,2024,3,9,12
U4523,颜保风,P86452,羽毛球拍,运动,365.78,2024-04-04 16:46:47,2,731.56,重庆,男,25,拼多多,2024,4,4,16
U1211,乐信,P78341,防晒霜,美妆,562.1,2024-10-31 10:48:17,5,2810.5,天津,男,56,拼多多,2024,10,31,10
U8029,包仁明,P93192,粉底液,美妆,91.52,2024-08-09 08:27:05,3,274.56,北京,女,25,拼多多,2024,8,9,8
U4425,元龙昌,P61623,卫衣,服装,614.08,2024-08-03 17:26:58,5,3070.4,苏州,男,26,拼多多,2024,8,3,17
U3931,董博,P98789,粉底液,美妆,413.95,2024-04-15 02:11:02,4,1655.8,西安,男,41,拼多多,2024,4,15,2
U4685,杨奇博,P77175,连衣裙,服装,608.69,2024-01-24 14:28:13,2,1217.38,重庆,女,36,拼多多,2024,1,24,14
U4648,平邦坚,P19607,时尚杂志,书籍,573.73,2024-08-22 15:53:41,2,1147.46,深圳,男,37,拼多多,2024,8,22,15
U1941,彭超家,P20730,科幻小说,书籍,307.98,2024-12-29 12:09:43,4,1231.92,深圳,男,57,拼多多,2024,12,29,12
U4654,俞兴伯,P84926,T恤,服装,104.76,2024-03-08 12:53:40,1,104.76,成都,男,37,拼多多,2024,3,8,12
U3428,吕鸣善,P38271,智能手表,电子产品,4645.91,2024-10-19 01:03:09,4,18583.64,西安,女,55,拼多多,2024,10,19,1
U5241,姚乐,P12889,科幻小说,书籍,731.59,2024-11-06 05:45:14,2,1463.18,武汉,女,47,拼多多,2024,11,6,5
U7014,郎豪伟,P90059,卫衣,服装,491.78,2024-07-30 15:36:14,1,491.78,上海,男,44,拼多多,2024,7,30,15
U1585,严广,P82176,毛绒玩具,玩具,738.75,2024-08-06 17:27:31,3,2216.25,成都,女,60,拼多多,2024,8,6,17
U2459,沈光乐,P97898,心理学,书籍,334.16,2024-09-10 12:47:34,3,1002.48,南京,男,59,拼多多,2024,9,10,12
U8489,鲍邦行,P58486,粉底液,美妆,537.73,2024-08-22 04:52:49,1,537.73,苏州,女,64,拼多多,2024,8,22,4
U3442,吉榕有,P95787,平板电脑,电子产品,4338.09,2024-03-11 15:37:10,4,17352.36,上海,女,48,拼多多,2024,3,11,15
U1839,孟发杰,P36134,蓝牙耳机,电子产品,8223.44,2024-07-07 14:57:03,4,32893.76,广州,男,20,拼多多,2024,7,7,14
U4088,萧贵岩,P41128,桌游,玩具,570.76,2024-09-19 16:10:11,2,1141.52,苏州,男,51,拼多多,2024,9,19,16
U4535,严强,P55219,面霜,美妆,786.48,2024-08-09 20:09:30,3,2359.44,武汉,女,44,拼多多,2024,8,9,20
U1422,唐天梁,P94247,粉底液,美妆,483.7,2024-11-09 14:02:19,2,967.4,深圳,女,25,拼多多,2024,11,9,14
U2345,熊浩坚,P98056,技术教材,书籍,745.8,2024-03-20 16:27:14,4,2983.2,北京,男,54,拼多多,2024,3,20,16
U9133,费祥哲,P16127,香水,美妆,92.09,2024-04-16 14:30:59,4,368.36,南京,男,57,拼多多,2024,4,16,14
U8557,尤震思,P69349,防晒霜,美妆,195.68,2024-07-02 04:49:40,5,978.4,杭州,女,41,拼多多,2024,7,2,4
U3300,陈学胜,P58347,篮球,运动,49.01,2024-12-20 12:09:30,4,196.04,重庆,男,28,拼多多,2024,12,20,12
U9192,苏成,P71900,羽绒服,服装,311.61,2024-06-13 08:02:48,5,1558.05,西安,男,37,拼多多,2024,6,13,8
U8305,梁泽轮,P71200,平板电脑,电子产品,1754.3,2024-05-15 15:53:16,5,8771.5,苏州,男,25,拼多多,2024,5,15,15
U1416,赵风义,P78056,台灯,家居,1545.37,2024-09-07 00:30:35,3,4636.11,武汉,男,19,拼多多,2024,9,7,0
U7124,郝善,P70662,跳绳,运动,96.59,2024-06-13 12:05:16,4,386.36,天津,男,53,拼多多,2024,6,13,12
U2726,卞俊策,P97821,羽绒服,服装,164.14,2024-02-14 05:15:34,1,164.14,深圳,女,33,拼多多,2024,2,14,5
U6324,管宁,P59239,显示器,电子产品,5684.37,2024-03-30 04:43:27,4,22737.48,广州,男,30,拼多多,2024,3,30,4
U8025,韩磊钧,P41744,心理学,书籍,278.28,2024-09-10 08:12:32,3,834.84,重庆,女,45,拼多多,2024,9,10,8
U2222,路清昌,P53328,T恤,服装,698.49,2024-05-11 11:58:28,5,3492.45,天津,男,49,拼多多,2024,5,11,11
U6689,董有,P24507,哑铃,运动,562.88,2024-06-07 08:08:44,3,1688.64,重庆,男,23,拼多多,2024,6,7,8
U6131,邓家哲,P57930,显示器,电子产品,8464.32,2024-12-25 19:01:29,4,33857.28,北京,女,44,拼多多,2024,12,25,19
U9959,颜良祥,P56384,乐高积木,玩具,32.55,2024-02-29 16:20:12,4,130.2,西安,女,38,拼多多,2024,2,29,16
U6453,房保,P17244,收纳盒,家居,3512.2,2024-12-13 18:35:10,2,7024.4,重庆,女,37,拼多多,2024,12,13,18
U4594,顾辰策,P62642,智能手表,电子产品,3203.23,2024-08-03 20:32:26,5,16016.15,天津,男,50,拼多多,2024,8,3,20
U5388,花松厚,P70507,餐桌,家居,1056.89,2024-12-22 01:55:44,3,3170.67,南京,女,61,拼多多,2024,12,22,1
U1163,冯成鸣,P43727,沙发,家居,3800.76,2024-11-03 11:34:19,3,11402.28,上海,男,27,拼多多,2024,11,3,11
U3292,虞震策,P92397,洗发水,美妆,223.85,2024-05-15 00:21:52,4,895.4,成都,女,30,拼多多,2024,5,15,0
U2430,夏仁新,P80696,办公椅,家居,1581.23,2024-07-11 13:28:35,5,7906.15,西安,男,46,拼多多,2024,7,11,13
U7651,卜彪行,P96404,面霜,美妆,444.64,2024-09-11 02:15:29,4,1778.56,苏州,男,61,拼多多,2024,9,11,2
U6828,夏发顺,P55944,笔记本电脑,电子产品,7657.95,2024-01-26 01:46:13,2,15315.9,天津,男,51,拼多多,2024,1,26,1
U5482,邵友,P45075,抱枕,家居,712.8,2024-06-01 07:20:58,5,3564.0,上海,男,40,拼多多,2024,6,1,7
U8539,宋世顺,P84890,台灯,家居,850.2,2024-08-22 05:26:59,2,1700.4,武汉,男,50,拼多多,2024,8,22,5
U5868,萧清彬,P60798,漫画,书籍,690.46,2024-04-01 12:41:22,4,2761.84,苏州,女,31,拼多多,2024,4,1,12
U5563,苏广伦,P42900,T恤,服装,523.0,2024-08-22 14:59:21,2,1046.0,深圳,女,52,拼多多,2024,8,22,14
U7082,诸世元,P59668,抱枕,家居,194.65,2024-06-13 01:52:21,1,194.65,成都,男,36,拼多多,2024,6,13,1
U7236,卞功敬,P25225,技术教材,书籍,795.16,2024-09-11 11:17:10,4,3180.64,成都,女,41,拼多多,2024,9,11,11
U6491,颜钧,P78008,牛仔裤,服装,215.25,2024-04-11 23:18:05,3,645.75,北京,男,24,拼多多,2024,4,11,23
U6103,郁学心,P91624,充电宝,电子产品,7890.51,2024-12-14 13:32:05,5,39452.55,武汉,男,62,拼多多,2024,12,14,13
U6397,江清新,P79079,毛绒玩具,玩具,723.92,2024-05-30 02:05:40,5,3619.6,武汉,男,27,拼多多,2024,5,30,2
U3726,刁宁山,P26091,办公椅,家居,720.2,2024-04-19 23:12:37,3,2160.6,西安,男,24,拼多多,2024,4,19,23
U5171,宋利民,P75211,变形金刚,玩具,385.78,2024-10-01 09:34:19,4,1543.12,苏州,女,64,拼多多,2024,10,1,9
U4183,袁彬亨,P10241,显示器,电子产品,8030.58,2024-01-19 05:14:58,2,16061.16,深圳,女,28,拼多多,2024,1,19,5
U7022,鲍海彬,P59227,心理学,书籍,569.48,2024-02-22 21:14:41,3,1708.44,西安,女,46,拼多多,2024,2,22,21
U2583,魏生亮,P46338,桌游,玩具,268.17,2024-02-10 17:34:55,1,268.17,南京,男,53,拼多多,2024,2,10,17
U6418,成群,P90878,连衣裙,服装,357.26,2024-07-06 22:31:19,5,1786.3,广州,女,33,拼多多,2024,7,6,22
U4870,方良,P84415,芭比娃娃,玩具,371.86,2024-11-25 04:01:46,3,1115.58,天津,男,33,拼多多,2024,11,25,4
U5435,杨光,P45519,显示器,电子产品,7926.18,2024-05-23 16:38:29,1,7926.18,成都,男,29,拼多多,2024,5,23,16
U4627,经学和,P10295,抱枕,家居,343.18,2024-12-15 20:49:33,3,1029.54,天津,男,30,拼多多,2024,12,15,20
U4240,齐文,P53201,变形金刚,玩具,674.94,2024-10-05 12:32:02,4,2699.76,苏州,男,27,拼多多,2024,10,5,12
U5820,冯强超,P70388,卫衣,服装,779.88,2024-08-31 19:50:01,1,779.88,杭州,女,56,拼多多,2024,8,31,19
U2789,窦航翔,P88402,餐桌,家居,4199.32,2024-03-11 14:42:14,2,8398.64,杭州,男,50,拼多多,2024,3,11,14
U6196,苗永富,P71791,人物传记,书籍,752.94,2024-01-16 04:20:17,2,1505.88,武汉,男,60,拼多多,2024,1,16,4
U7320,万言彪,P28027,四件套,家居,2136.33,2024-01-14 05:25:08,4,8545.32,成都,男,61,拼多多,2024,1,14,5
U7522,蒋全,P20415,洗发水,美妆,759.26,2024-10-23 21:10:10,3,2277.78,杭州,女,57,拼多多,2024,10,23,21
U2524,袁光榕,P96853,变形金刚,玩具,122.79,2024-07-14 00:55:02,5,613.95,武汉,女,65,拼多多,2024,7,14,0
U3807,皮盛,P81135,粉底液,美妆,200.16,2024-09-06 07:16:52,5,1000.8,成都,女,23,拼多多,2024,9,6,7
U3634,伍进山,P70437,防晒霜,美妆,115.9,2024-04-10 23:03:04,5,579.5,上海,男,22,拼多多,2024,4,10,23
U6685,郎裕梁,P16269,遥控车,玩具,141.71,2024-05-24 02:42:11,2,283.42,深圳,女,31,拼多多,2024,5,24,2
U1438,昝元,P26903,台灯,家居,2423.81,2024-01-10 21:11:44,4,9695.24,北京,女,55,拼多多,2024,1,10,21
U2019,干星俊,P53084,洗发水,美妆,668.81,2024-12-09 14:20:30,5,3344.05,重庆,男,56,拼多多,2024,12,9,14
U5463,卫炎信,P48781,T恤,服装,130.64,2024-03-15 13:38:56,5,653.2,苏州,女,34,拼多多,2024,3,15,13
U4376,罗承泰,P79878,跑步鞋,运动,537.29,2024-06-19 04:56:25,2,1074.58,上海,女,64,拼多多,2024,6,19,4
U7194,庞中旭,P94576,收纳盒,家居,1838.82,2024-09-06 13:09:17,1,1838.82,武汉,男,46,拼多多,2024,9,6,13
U6188,祁雄,P62272,显示器,电子产品,2720.91,2024-05-11 12:26:29,1,2720.91,重庆,女,54,拼多多,2024,5,11,12
U7037,明世,P53471,哑铃,运动,513.56,2024-12-18 20:38:12,1,513.56,南京,男,39,拼多多,2024,12,18,20
U2994,管学全,P21297,羽毛球拍,运动,187.38,2024-01-06 13:22:47,1,187.38,天津,男,35,拼多多,2024,1,6,13
U6402,裘中维,P81695,化妆刷套装,美妆,679.01,2024-09-13 07:43:40,5,3395.05,北京,女,37,拼多多,2024,9,13,7
U6697,乐龙致,P96166,面霜,美妆,84.16,2024-08-14 23:47:21,5,420.8,苏州,男,21,拼多多,2024,8,14,23
U7464,庞鹏旭,P60854,遥控车,玩具,440.82,2024-07-06 19:34:20,3,1322.46,重庆,男,24,拼多多,2024,7,6,19
U4972,冯光,P70739,平板电脑,电子产品,884.66,2024-07-27 15:05:07,4,3538.64,成都,女,41,拼多多,2024,7,27,15
U4857,虞文榕,P33695,桌游,玩具,163.08,2024-03-24 21:05:44,5,815.4,苏州,女,19,拼多多,2024,3,24,21
U7831,韦行,P31163,收纳盒,家居,204.03,2024-01-03 01:05:55,4,816.12,深圳,女,28,拼多多,2024,1,3,1
U1595,水清,P48038,桌游,玩具,808.08,2024-10-03 20:33:18,1,808.08,成都,男,53,拼多多,2024,10,3,20
U5551,施敬,P96945,心理学,书籍,527.76,2024-12-15 15:16:55,5,2638.8,苏州,女,36,拼多多,2024,12,15,15
U4766,秦兴星,P10045,芭比娃娃,玩具,94.49,2024-12-05 21:49:26,3,283.47,广州,男,42,拼多多,2024,12,5,21
U8817,贺康昌,P37859,科幻小说,书籍,518.47,2024-08-23 15:22:19,1,518.47,西安,女,63,拼多多,2024,8,23,15
U7401,平航民,P62051,牛仔裤,服装,807.33,2024-08-27 07:51:18,3,2421.99,天津,女,43,拼多多,2024,8,27,7
U5047,危子壮,P90598,桌游,玩具,41.0,2024-02-08 23:33:26,5,205.0,北京,男,38,拼多多,2024,2,8,23
U8787,熊启,P26781,运动鞋,服装,148.47,2024-07-26 09:18:51,4,593.88,武汉,女,18,拼多多,2024,7,26,9
U8076,严奇彪,P26490,运动鞋,服装,583.3,2024-09-01 09:49:31,2,1166.6,杭州,女,29,拼多多,2024,9,1,9
U3552,柯奇光,P35142,哑铃,运动,195.51,2024-04-24 14:48:49,5,977.55,重庆,女,35,拼多多,2024,4,24,14
U9830,舒志,P70127,连衣裙,服装,50.25,2024-09-08 16:45:50,2,100.5,南京,女,34,拼多多,2024,9,8,16
U7474,卫保震,P93569,科幻小说,书籍,433.57,2024-06-24 00:33:39,3,1300.71,广州,女,21,拼多多,2024,6,24,0
U4502,傅栋明,P44676,香水,美妆,712.55,2024-09-30 19:11:33,5,3562.75,北京,女,24,拼多多,2024,9,30,19
U5933,柏平生,P49039,智能手机,电子产品,1397.48,2024-03-22 11:46:33,3,4192.44,广州,女,26,拼多多,2024,3,22,11
U6081,茅豪广,P82206,运动鞋,服装,100.32,2024-03-30 14:31:03,1,100.32,成都,男,49,拼多多,2024,3,30,14
U9799,米清,P13436,显示器,电子产品,1634.67,2024-09-08 03:05:41,2,3269.34,西安,男,49,拼多多,2024,9,8,3
U1024,史新进,P56221,时尚杂志,书籍,781.53,2024-08-29 13:39:19,3,2344.59,北京,男,41,拼多多,2024,8,29,13
U9476,于健江,P70216,卫衣,服装,46.32,2024-02-19 02:27:38,3,138.96,天津,女,35,拼多多,2024,2,19,2
U6543,平子超,P91918,智能手表,电子产品,2640.07,2024-02-20 23:43:14,2,5280.14,深圳,男,24,拼多多,2024,2,20,23
U5995,喻有松,P38330,台灯,家居,103.69,2024-05-19 23:16:52,3,311.07,苏州,女,39,拼多多,2024,5,19,23
U5189,岑康斌,P15492,化妆刷套装,美妆,531.47,2024-06-14 16:43:54,2,1062.94,杭州,男,53,拼多多,2024,6,14,16
U8494,奚钧有,P46214,山地车,运动,469.92,2024-04-25 13:35:54,3,1409.76,武汉,男,19,拼多多,2024,4,25,13
U3613,章福胜,P53890,科幻小说,书籍,92.63,2024-05-26 22:31:54,5,463.15,上海,女,25,拼多多,2024,5,26,22
U8928,许彬,P62645,面霜,美妆,50.74,2024-07-17 22:05:19,4,202.96,西安,男,52,拼多多,2024,7,17,22
U2252,邹裕时,P27400,面霜,美妆,248.58,2024-01-21 11:29:52,2,497.16,南京,女,40,拼多多,2024,1,21,11
U6159,罗新祥,P92635,瑜伽垫,运动,783.56,2024-07-27 23:36:34,5,3917.8,西安,女,32,拼多多,2024,7,27,23
U9274,成功明,P90387,智能手机,电子产品,2909.6,2024-04-25 17:49:24,4,11638.4,西安,女,26,拼多多,2024,4,25,17
U3737,祝辰乐,P85810,蓝牙耳机,电子产品,6957.45,2024-06-19 20:47:54,3,20872.35,深圳,男,61,拼多多,2024,6,19,20
U8345,路进昌,P25990,显示器,电子产品,8433.94,2024-08-31 14:59:19,2,16867.88,上海,女,38,拼多多,2024,8,31,14
U7175,潘彬坚,P87582,毛绒玩具,玩具,310.55,2024-01-21 22:07:58,1,310.55,西安,女,21,拼多多,2024,1,21,22
U7011,孟德言,P53425,餐桌,家居,1061.55,2024-08-30 14:36:09,4,4246.2,重庆,女,18,拼多多,2024,8,30,14
U1561,王心义,P83232,平板电脑,电子产品,1004.5,2024-07-05 14:02:57,4,4018.0,武汉,男,61,拼多多,2024,7,5,14
U3828,卫元栋,P46076,防晒霜,美妆,459.65,2024-04-01 13:29:08,4,1838.6,北京,女,34,拼多多,2024,4,1,13
U2180,唐强庆,P12744,餐桌,家居,2234.91,2024-05-06 09:50:58,5,11174.55,广州,男,45,拼多多,2024,5,6,9
U3360,雷以策,P54104,桌游,玩具,66.08,2024-08-29 00:23:23,5,330.4,天津,男,60,拼多多,2024,8,29,0
U5756,禹贵,P20771,夹克,服装,335.79,2024-04-05 03:39:41,5,1678.95,深圳,女,20,拼多多,2024,4,5,3
U3022,余福有,P51202,毛绒玩具,玩具,181.02,2024-05-27 06:49:09,3,543.06,杭州,女,34,拼多多,2024,5,27,6
U1913,高伯中,P61456,羽毛球拍,运动,198.78,2024-04-01 21:07:23,1,198.78,成都,女,47,拼多多,2024,4,1,21
U4228,虞全,P45527,桌游,玩具,103.19,2024-04-01 17:56:00,1,103.19,上海,女,28,拼多多,2024,4,1,17
U6699,黄民功,P60262,桌游,玩具,56.48,2024-11-28 13:08:08,5,282.4,上海,男,48,拼多多,2024,11,28,13
U5837,周朋,P38628,人物传记,书籍,607.48,2024-06-11 07:00:27,1,607.48,南京,男,42,拼多多,2024,6,11,7
U7945,滕雄哲,P29827,卫衣,服装,552.85,2024-10-14 12:35:52,4,2211.4,杭州,男,29,拼多多,2024,10,14,12
U2328,童江,P53921,笔记本电脑,电子产品,5342.86,2024-10-27 10:58:24,2,10685.72,深圳,女,40,拼多多,2024,10,27,10
U7588,俞之,P71637,餐桌,家居,4217.96,2024-01-14 21:59:45,1,4217.96,苏州,男,46,拼多多,2024,1,14,21
U2188,伍翔,P42175,夹克,服装,59.09,2024-09-18 04:35:15,5,295.45,西安,男,21,拼多多,2024,9,18,4
U3335,纪伟松,P62532,面霜,美妆,408.86,2024-02-07 12:26:17,1,408.86,杭州,男,45,拼多多,2024,2,7,12
U1962,梅心雄,P77231,遥控车,玩具,601.15,2024-06-29 00:14:47,1,601.15,北京,男,22,拼多多,2024,6,29,0
U3571,郑琛军,P36382,遥控车,玩具,430.59,2024-06-19 18:40:37,3,1291.77,南京,女,54,拼多多,2024,6,19,18
U9784,颜启震,P83782,羽毛球拍,运动,696.38,2024-10-06 10:50:39,1,696.38,苏州,女,57,拼多多,2024,10,6,10
U5553,安浩宏,P12487,芭比娃娃,玩具,385.84,2024-02-02 03:16:30,2,771.68,杭州,男,29,拼多多,2024,2,2,3
U3103,贲岩,P39107,拼图,玩具,678.85,2024-11-25 11:43:05,2,1357.7,上海,男,31,拼多多,2024,11,25,11
U6370,孟谦峰,P98362,显示器,电子产品,5002.19,2024-03-26 16:52:13,1,5002.19,成都,男,45,拼多多,2024,3,26,16
U4896,经伦群,P70385,餐桌,家居,1742.81,2024-01-30 23:41:23,4,6971.24,杭州,男,41,拼多多,2024,1,30,23
U3355,盛承固,P26808,羽绒服,服装,179.62,2024-02-29 03:15:23,1,179.62,苏州,女,41,拼多多,2024,2,29,3
U2473,汤龙,P73109,连衣裙,服装,507.42,2024-06-27 13:47:16,5,2537.1,天津,女,47,拼多多,2024,6,27,13
U7433,蔡伯平,P42200,跑步鞋,运动,730.77,2024-01-13 01:56:06,5,3653.85,重庆,男,28,拼多多,2024,1,13,1
U9421,雷鸣,P68272,哑铃,运动,353.62,2024-06-03 18:13:14,4,1414.48,杭州,女,52,拼多多,2024,6,3,18
U9260,田达厚,P89250,显示器,电子产品,1555.91,2024-11-20 13:56:32,3,4667.73,武汉,男,64,拼多多,2024,11,20,13
U2436,周树,P77914,智能手机,电子产品,1532.02,2024-03-09 03:03:35,3,4596.06,上海,女,43,拼多多,2024,3,9,3
U7397,干友之,P76317,蓝牙耳机,电子产品,4393.37,2024-02-20 22:15:47,3,13180.11,深圳,男,46,拼多多,2024,2,20,22
U1698,伍庆胜,P76436,口红,美妆,403.46,2024-02-05 19:30:14,2,806.92,西安,男,49,拼多多,2024,2,5,19
U6872,舒民维,P58637,面霜,美妆,279.52,2024-12-17 14:25:53,1,279.52,成都,男,56,拼多多,2024,12,17,14
U1525,缪龙,P24671,羽毛球拍,运动,660.51,2024-11-08 12:27:04,4,2642.04,重庆,女,58,拼多多,2024,11,8,12
U9484,谢翰树,P56717,沙发,家居,2408.23,2024-04-09 14:51:44,3,7224.69,武汉,女,21,拼多多,2024,4,9,14
U4610,舒雄良,P28918,智能手机,电子产品,7990.34,2024-10-27 04:03:52,3,23971.02,杭州,女,43,拼多多,2024,10,27,4
U1780,卜祥,P25842,变形金刚,玩具,292.71,2024-02-08 09:00:55,2,585.42,北京,女,53,拼多多,2024,2,8,9
U9643,华奇,P88463,变形金刚,玩具,412.05,2024-04-06 01:23:20,3,1236.15,广州,女,55,拼多多,2024,4,6,1
U3803,汤友亮,P35272,粉底液,美妆,613.63,2024-07-03 10:15:11,3,1840.89,天津,女,31,拼多多,2024,7,3,10
U8838,汤钧,P19449,夹克,服装,157.01,2024-04-28 23:12:53,3,471.03,武汉,男,41,拼多多,2024,4,28,23
